2025-10-24 23:38:45 | helios | INFO | <module>:39 | 🚀 Starting Helios initialization...
2025-10-24 23:38:45 | helios | INFO | <module>:45 | ✅ OpenAI API key found
2025-10-24 23:38:45 | helios | INFO | <module>:50 | ✅ Loaded enrichment data for 8 materials
2025-10-24 23:38:45 | helios | INFO | <module>:57 | Loading embedding model...
2025-10-24 23:38:49 | helios | INFO | <module>:59 | ✅ Embedding model loaded
2025-10-24 23:38:49 | helios | INFO | <module>:61 | Loading vector store from db/...
2025-10-24 23:38:50 | helios | INFO | <module>:63 | ✅ Vector store loaded
2025-10-24 23:38:50 | helios | INFO | <module>:65 | Initializing LLM...
2025-10-24 23:38:50 | helios | INFO | <module>:67 | ✅ LLM initialized
2025-10-24 23:38:50 | helios | INFO | <module>:75 | Setting up self-query retriever...
2025-10-24 23:38:50 | helios | INFO | <module>:95 | ✅ Self-query retriever configured
2025-10-24 23:38:50 | helios | INFO | <module>:103 | Building RAG chain...
2025-10-24 23:38:50 | helios | INFO | <module>:121 | ✅ RAG chain built successfully
2025-10-24 23:38:50 | helios | INFO | <module>:127 | 🎉 Helios Core Logic Initialized. The Agent is online and ready.
2025-10-24 23:38:50 | helios | INFO | startup_event:264 | 🌟 Helios API server started successfully
2025-10-24 23:38:50 | helios | INFO | startup_event:265 | 📊 System ready to receive queries
2025-10-24 23:39:35 | helios | INFO | query_agent:148 | 📥 New query received: 'what is aluminum...'
2025-10-24 23:39:38 | helios | INFO | log_query_metrics:75 | Query Metrics | Status: SUCCESS | Response Time: 2.73s | Sources: 4 | Query: 'what is aluminum...'
2025-10-24 23:39:38 | helios | INFO | query_agent:195 | ✅ Query completed successfully in 2.73s
2025-10-24 23:39:52 | helios | INFO | query_agent:148 | 📥 New query received: 'what is Aluminum 2024-T3...'
2025-10-24 23:39:55 | helios | INFO | log_query_metrics:75 | Query Metrics | Status: SUCCESS | Response Time: 3.06s | Sources: 4 | Query: 'what is Aluminum 2024-T3...'
2025-10-24 23:39:55 | helios | INFO | query_agent:195 | ✅ Query completed successfully in 3.06s
2025-10-24 23:48:26 | helios | INFO | query_agent:148 | 📥 New query received: 'List all the stainless steel materials you have...'
2025-10-24 23:48:28 | helios | INFO | log_query_metrics:75 | Query Metrics | Status: SUCCESS | Response Time: 2.19s | Sources: 4 | Query: 'List all the stainless steel materials you have...'
